input,time_complexity,space_complexity
"# Python3 program to check
# if a given tree is BST.
importmath

# A binary tree node has data,
# pointer to left child and
# a pointer to right child
classNode:
    def__init__(self, data):
        self.data =data
        self.left =None
        self.right =None


defisBSTUtil(root, prev):

    # traverse the tree in inorder fashion
    # and keep track of prev node
    if(root !=None):
        if(isBSTUtil(root.left, prev) ==False):
            returnFalse

        # Allows only distinct valued nodes
        if(prev !=Noneand
                root.data <=prev.data):
            returnFalse

        prev =root
        returnisBSTUtil(root.right, prev)

    returnTrue


defisBST(root):
    prev =None
    returnisBSTUtil(root, prev)


# Driver Code
if__name__ =='__main__':
    root =Node(3)
    root.left =Node(2)
    root.right =Node(5)
    root.right.left =Node(1)
    root.right.right =Node(4)

    # Function call
    if(isBST(root) ==None):
        print(""Is BST"")
    else:
        print(""Not a BST"")

# This code is contributed by Srathore
",O(N),O(H)
"# Definition for a binary tree node.
classTreeNode:
    def__init__(self, val):
        self.val =val
        self.left =None
        self.right =None

defisValidBST(root):
    curr =root
    prev =None
    
    whilecurr !=None:
        ifcurr.left ==None: # case 1: no left child
            # process the current node
            ifprev !=Noneandprev.val >=curr.val:
                returnFalse
            prev =curr
            curr =curr.right
        else: # case 2: has a left child
            # find the inorder predecessor
            pred =curr.left
            whilepred.right !=Noneandpred.right !=curr:
                pred =pred.right
            
            ifpred.right ==None: # make threaded link
                pred.right =curr
                curr =curr.left
            else: # remove threaded link
                pred.right =None
                # process the current node
                ifprev !=Noneandprev.val >=curr.val:
                    returnFalse
                prev =curr
                curr =curr.right
    
    returnTrue# binary tree is a valid BST

# Driver Code
root =TreeNode(4)
root.left =TreeNode(2)
root.right =TreeNode(5)
root.left.left =TreeNode(1)
root.left.right =TreeNode(3)

# check if the binary tree is a valid BST
ifisValidBST(root):
    print(""The binary tree is a valid BST."")
else:
    print(""The binary tree is not a valid BST."")
",O(N),O(1)
"# Python3 program for activity selection problem.

# The following implementation assumes that the activities
# are already sorted according to their finish time

# Prints a maximum set of activities that can be done 
# by a single person, one at a time
defprintMaxActivities(s, f):
    n =len(f)
    print(""Following activities are selected"")

    # The first activity is always selected
    i =0
    print(i, end=' ')

    # Consider rest of the activities
    forj inrange(1, n):

        # If this activity has start time greater than
        # or equal to the finish time of previously
        # selected activity, then select it
        ifs[j] >=f[i]:
            print(j, end=' ')
            i =j


# Driver code
if__name__ =='__main__':
    s =[1, 3, 0, 5, 8, 5]
    f =[2, 4, 6, 7, 9, 9]

    # Function call
    printMaxActivities(s, f)

# This code is contributed by Nikhil Kumar Singh
",O(N),O(1)
"''' Python program for activity selection problem
 when input activities may not be sorted.'''


defMaxActivities(arr, n):
    selected =[]

    # Sort jobs according to finish time
    Activity.sort(key=lambdax: x[1])

    # The first activity always gets selected
    i =0
    selected.append(arr[i])

    forj inrange(1, n):

        '''If this activity has start time greater than or
           equal to the finish time of previously selected
           activity, then select it'''
        ifarr[j][0] >=arr[i][1]:
            selected.append(arr[j])
            i =j
    returnselected


# Driver code
if__name__ =='__main__':
    Activity =[[5, 9], [1, 2], [3, 4], [0, 6], [5, 7], [8, 9]]
    n =len(Activity)

    # Function call
    selected =MaxActivities(Activity, n)
    print(""Following activities are selected :"")
    print(selected[0], end ="""");
    fori inrange(1, len(selected)):
        print("","", end ="" "")
        print(selected[i], end ="""")

# This code is contributed by kshitijjainm
",O(N log N),O(1)
"# Python3 program for activity selection problem
# when input activities may not be sorted.
fromheapq importheappop, heappush

# Function to select activites


defSelectActivities(s, f):
    ans =[]
    p =[]

    # Pushing elements in the list
    fori, j inzip(s, f):
        heappush(p, (j, i))

    it =heappop(p)
    start =it[1]
    end =it[0]
    ans.append(it)

    # Sorting process
    whilep:
        it =heappop(p)
        ifit[1] >=end:
            start =it[1]
            end =it[0]
            ans.append(it)

    print(""Following Activities should be selected.\n"")
    forf, s inans:
        print(f""Activity started at {s} and ends at {f}"")


# Driver code
if__name__ ==""__main__"":
    s =[1, 3, 0, 5, 8, 5]
    finish =[2, 4, 6, 7, 9, 9]

    # Function call
    SelectActivities(s, finish)

# This code is contributed by kraanzu.
",O(N * log N),O(N)
"# Python program for implementation of
# Aho-Corasick algorithm for string matching

# defaultdict is used only for storing the final output
# We will return a dictionary where key is the matched word
# and value is the list of indexes of matched word
fromcollections importdefaultdict

# For simplicity, Arrays and Queues have been implemented using lists. 
# If you want to improve performance try using them instead
classAhoCorasick:
    def__init__(self, words):

        # Max number of states in the matching machine.
        # Should be equal to the sum of the length of all keywords.
        self.max_states =sum([len(word) forword inwords])

        # Maximum number of characters.
        # Currently supports only alphabets [a,z]
        self.max_characters =26

        # OUTPUT FUNCTION IS IMPLEMENTED USING out []
        # Bit i in this mask is 1 if the word with
        # index i appears when the machine enters this state.
        # Lets say, a state outputs two words ""he"" and ""she"" and
        # in our provided words list, he has index 0 and she has index 3
        # so value of out[state] for this state will be 1001
        # It has been initialized to all 0.
        # We have taken one extra state for the root.
        self.out =[0]*(self.max_states+1)

        # FAILURE FUNCTION IS IMPLEMENTED USING fail []
        # There is one value for each state + 1 for the root
        # It has been initialized to all -1
        # This will contain the fail state value for each state
        self.fail =[-1]*(self.max_states+1)

        # GOTO FUNCTION (OR TRIE) IS IMPLEMENTED USING goto [[]]
        # Number of rows = max_states + 1
        # Number of columns = max_characters i.e 26 in our case
        # It has been initialized to all -1.
        self.goto =[[-1]*self.max_characters for_ inrange(self.max_states+1)]
        
        # Convert all words to lowercase
        # so that our search is case insensitive
        fori inrange(len(words)):
          words[i] =words[i].lower()
          
        # All the words in dictionary which will be used to create Trie
        # The index of each keyword is important:
        # ""out[state] & (1 << i)"" is > 0 if we just found word[i]
        # in the text.
        self.words =words

        # Once the Trie has been built, it will contain the number
        # of nodes in Trie which is total number of states required <= max_states
        self.states_count =self.__build_matching_machine()


    # Builds the String matching machine.
    # Returns the number of states that the built machine has.
    # States are numbered 0 up to the return value - 1, inclusive.
    def__build_matching_machine(self):
        k =len(self.words)

        # Initially, we just have the 0 state
        states =1

        # Convalues for goto function, i.e., fill goto
        # This is same as building a Trie for words[]
        fori inrange(k):
            word =self.words[i]
            current_state =0

            # Process all the characters of the current word
            forcharacter inword:
                ch =ord(character) -97# Ascii value of 'a' = 97

                # Allocate a new node (create a new state)
                # if a node for ch doesn't exist.
                ifself.goto[current_state][ch] ==-1:
                    self.goto[current_state][ch] =states
                    states +=1

                current_state =self.goto[current_state][ch]

            # Add current word in output function
            self.out[current_state] |=(1<<i)

        # For all characters which don't have
        # an edge from root (or state 0) in Trie,
        # add a goto edge to state 0 itself
        forch inrange(self.max_characters):
            ifself.goto[0][ch] ==-1:
                self.goto[0][ch] =0
        
        # Failure function is computed in 
        # breadth first order using a queue
        queue =[]

        # Iterate over every possible input
        forch inrange(self.max_characters):

            # All nodes of depth 1 have failure
            # function value as 0. For example,
            # in above diagram we move to 0
            # from states 1 and 3.
            ifself.goto[0][ch] !=0:
                self.fail[self.goto[0][ch]] =0
                queue.append(self.goto[0][ch])

        # Now queue has states 1 and 3
        whilequeue:

            # Remove the front state from queue
            state =queue.pop(0)

            # For the removed state, find failure
            # function for all those characters
            # for which goto function is not defined.
            forch inrange(self.max_characters):

                # If goto function is defined for
                # character 'ch' and 'state'
                ifself.goto[state][ch] !=-1:

                    # Find failure state of removed state
                    failure =self.fail[state]

                    # Find the deepest node labeled by proper
                    # suffix of String from root to current state.
                    whileself.goto[failure][ch] ==-1:
                        failure =self.fail[failure]
                    
                    failure =self.goto[failure][ch]
                    self.fail[self.goto[state][ch]] =failure

                    # Merge output values
                    self.out[self.goto[state][ch]] |=self.out[failure]

                    # Insert the next level node (of Trie) in Queue
                    queue.append(self.goto[state][ch])
        
        returnstates


    # Returns the next state the machine will transition to using goto
    # and failure functions.
    # current_state - The current state of the machine. Must be between
    #             0 and the number of states - 1, inclusive.
    # next_input - The next character that enters into the machine.
    def__find_next_state(self, current_state, next_input):
        answer =current_state
        ch =ord(next_input) -97# Ascii value of 'a' is 97

        # If goto is not defined, use
        # failure function
        whileself.goto[answer][ch] ==-1:
            answer =self.fail[answer]

        returnself.goto[answer][ch]


    # This function finds all occurrences of all words in text.
    defsearch_words(self, text):
        # Convert the text to lowercase to make search case insensitive
        text =text.lower()

        # Initialize current_state to 0 
        current_state =0

        # A dictionary to store the result.
        # Key here is the found word
        # Value is a list of all occurrences start index
        result =defaultdict(list)

        # Traverse the text through the built machine
        # to find all occurrences of words
        fori inrange(len(text)):
            current_state =self.__find_next_state(current_state, text[i])

            # If match not found, move to next state
            ifself.out[current_state] ==0: continue

            # Match found, store the word in result dictionary
            forj inrange(len(self.words)):
                if(self.out[current_state] & (1<<j)) > 0:
                    word =self.words[j]

                    # Start index of word is (i-len(word)+1)
                    result[word].append(i-len(word)+1)

        # Return the final result dictionary
        returnresult

# Driver code
if__name__ ==""__main__"":
    words =[""he"", ""she"", ""hers"", ""his""]
    text =""ahishers""

    # Create an Object to initialize the Trie
    aho_chorasick =AhoCorasick(words)

    # Get the result
    result =aho_chorasick.search_words(text)

    # Print the result
    forword inresult:
        fori inresult[word]:
            print(""Word"", word, ""appears from"", i, ""to"", i+len(word)-1)
            
# This code is contributed by Md Azharuddin
",O(n + l + z),O(l * q)
"defrotate(L, d, n):
    k =L.index(d)
    new_lis =[]
    new_lis =L[k+1:]+L[0:k+1]
    returnnew_lis


if__name__ =='__main__':
    arr =[1, 2, 3, 4, 5, 6, 7]
    d =2
    N =len(arr)

    # Function call
    arr =rotate(arr, d, N)
    fori inarr:
        print(i, end="" "")
",O(N),O(N)
"# Python program to rotate an array by d elements

# Function to left rotate arr[] of size n by d
defRotate(arr, d, n):
  p =1
  while(p <=d):
    last =arr[0]
    fori inrange(n -1):
      arr[i] =arr[i +1]
    arr[n -1] =last
    p =p +1
    
# Function to print an array
defprintArray(arr, size):
  fori inrange(size):
    print(arr[i] ,end ="" "")
    
# Driver code
arr =[1, 2, 3, 4, 5, 6, 7]
N =len(arr)
d =2

# Function calling
Rotate(arr, d, N)
printArray(arr, N)

# This code is contributed by Atul_kumar_Shrivastava
",O(N*d),O(1)
"# Python3 program to rotate an array by
# d elements
# Function to left rotate arr[] of size n by d


defleftRotate(arr, d, n):
    d =d %n
    g_c_d =gcd(d, n)
    fori inrange(g_c_d):

        # move i-th values of blocks
        temp =arr[i]
        j =i
        while1:
            k =j +d
            ifk >=n:
                k =k -n
            ifk ==i:
                break
            arr[j] =arr[k]
            j =k
        arr[j] =temp

# UTILITY FUNCTIONS
# function to print an array


defprintArray(arr, size):
    fori inrange(size):
        print(""% d""%arr[i], end="" "")

# Function to get gcd of a and b


defgcd(a, b):
    ifb ==0:
        returna
    else:
        returngcd(b, a %b)


# Driver program to test above functions
arr =[1, 2, 3, 4, 5, 6, 7]
n =len(arr)
d =2
leftRotate(arr, d, n)
printArray(arr, n)

# This code is contributed by Shreyanshi Arun
",O(N),O(1)
"# Returns the new average
# after including x
defgetAvg(x, n, sum):
    sum=sum+x;
    returnfloat(sum) /n;

# Prints average of a 
# stream of numbers
defstreamAvg(arr, n):
    avg =0;
    sum=0;
    fori inrange(n):
        avg =getAvg(arr[i], i +1, sum);
        sum=avg *(i +1);
        print(""Average of "", end ="""");
        print(i +1, end ="""");
        print("" numbers is "", end ="""");
        print(avg);
    return;

# Driver Code
arr=[ 10, 20, 30, 
       40, 50, 60];
n =len(arr);
streamAvg(arr,n);

# This code is contributed by mits
",O(n),O(1)
